-838.0,-5018.0
-22.0,-122.0
915.0,5500.0
727.0,4372.0
368.0,2218.0
-911.0,-5456.0
970.0,5830.0
833.0,5008.0
-366.0,-2186.0
533.0,3208.0
595.0,3580.0
543.0,3268.0
29.0,184.0
854.0,5134.0
148.0,898.0
420.0,2530.0
823.0,4948.0
675.0,4060.0
-357.0,-2132.0
-158.0,-938.0
-14.0,-74.0
-760.0,-4550.0
733.0,4408.0
-901.0,-5396.0
725.0,4360.0
222.0,1342.0
-57.0,-332.0
883.0,5308.0
991.0,5956.0
405.0,2440.0
-37.0,-212.0
873.0,5248.0
571.0,3436.0
360.0,2170.0
-968.0,-5798.0
695.0,4180.0
-108.0,-638.0
-420.0,-2510.0
602.0,3622.0
374.0,2254.0
-17.0,-92.0
463.0,2788.0
329.0,1984.0
-821.0,-4916.0
274.0,1654.0
420.0,2530.0
646.0,3886.0
-669.0,-4004.0
-741.0,-4436.0
-966.0,-5786.0
-946.0,-5666.0
734.0,4414.0
132.0,802.0
-161.0,-956.0
-217.0,-1292.0
545.0,3280.0
-158.0,-938.0
-324.0,-1934.0
-535.0,-3200.0
121.0,736.0
513.0,3088.0
598.0,3598.0
-733.0,-4388.0
-822.0,-4922.0
-857.0,-5132.0
693.0,4168.0
731.0,4396.0
569.0,3424.0
640.0,3850.0
715.0,4300.0
451.0,2716.0
942.0,5662.0
-75.0,-440.0
770.0,4630.0
-119.0,-704.0
4.0,34.0
162.0,982.0
641.0,3856.0
231.0,1396.0
-389.0,-2324.0
718.0,4318.0
-326.0,-1946.0
-524.0,-3134.0
974.0,5854.0
-815.0,-4880.0
-355.0,-2120.0
-925.0,-5540.0
-413.0,-2468.0
765.0,4600.0
529.0,3184.0
265.0,1600.0
-453.0,-2708.0
-120.0,-710.0
-152.0,-902.0
129.0,784.0
834.0,5014.0
477.0,2872.0
231.0,1396.0
-23.0,-128.0
-230.0,-1370.0
-814.0,-4874.0
39.0,244.0
340.0,2050.0
-923.0,-5528.0
-693.0,-4148.0
880.0,5290.0
615.0,3700.0
796.0,4786.0
-463.0,-2768.0
292.0,1762.0
-753.0,-4508.0
679.0,4084.0
-28.0,-158.0
647.0,3892.0
40.0,250.0
16.0,106.0
-717.0,-4292.0
260.0,1570.0
773.0,4648.0
